CustomerKey,CustomerID,CustomerName,Industry,Region,Prefecture,EmployeeCount,AccountStartDate,CustomerRank,SalesRep
1,CUS-001,瑞穂モーターズ株式会社,自動車製造,中部,愛知県,70000,2018-04-01,S,田中太郎
2,CUS-002,朝凪電装株式会社,自動車部品,中部,愛知県,45000,2019-01-15,S,田中太郎
3,CUS-003,蒼天エレクトロニクス株式会社,電機メーカー,関西,大阪府,60000,2018-06-01,S,山本花子
4,CUS-004,暁峰電機株式会社,電機メーカー,関東,東京都,30000,2020-03-10,A,佐藤健一
5,CUS-005,碧空精機株式会社,FA機器,関東,山梨県,8500,2019-07-20,A,佐藤健一
6,CUS-006,翠光産業株式会社,空圧機器,関東,東京都,20000,2021-02-01,A,鈴木美咲
7,CUS-007,瑞光電子工業株式会社,電子部品,関西,京都府,75000,2019-11-15,S,山本花子
8,CUS-008,昇龍重工株式会社,重工業,関東,東京都,80000,2020-08-01,A,佐藤健一
9,CUS-009,紅葉重機株式会社,重工業,関西,兵庫県,36000,2021-04-10,B,山本花子
10,CUS-010,彩雲テクノロジー株式会社,電子部品,関東,東京都,28000,2022-01-15,B,鈴木美咲
11,CUS-011,暁ロボティクス株式会社,ロボット,九州,福岡県,15000,2020-05-20,A,高橋誠
12,CUS-012,銀嶺精密株式会社,FA機器,関西,京都府,28000,2019-09-01,A,山本花子
13,CUS-013,双葉物流機器株式会社,マテハン,関西,大阪府,12000,2022-06-15,B,山本花子
14,CUS-014,雷光電動機株式会社,モーター,関西,京都府,110000,2021-08-01,S,山本花子
15,CUS-015,星明フォトニクス株式会社,光学機器,中部,静岡県,5500,2023-01-10,B,田中太郎
16,CUS-016,天領計測株式会社,計測制御,関東,東京都,18000,2020-11-20,A,佐藤健一
17,CUS-017,和泉パーツ工業株式会社,自動車部品,中部,愛知県,35000,2022-03-01,A,田中太郎
18,CUS-018,北斗空調工業株式会社,空調機器,関西,大阪府,90000,2021-12-15,S,山本花子
19,CUS-019,明星電工株式会社,電線・光学,関西,大阪府,40000,2023-04-01,B,山本花子
20,CUS-020,碧海精密機器株式会社,精密機器,中部,長野県,75000,2022-09-10,A,高橋誠
21,CUS-021,曙光電機株式会社,電機メーカー,関東,東京都,28000,2023-06-01,B,鈴木美咲
22,CUS-022,極東精工株式会社,ベアリング,関東,東京都,95000,2021-05-15,A,佐藤健一
23,CUS-023,紫雲窯業株式会社,セラミック部品,関西,京都府,80000,2020-02-01,S,山本花子
24,CUS-024,若草精密工業株式会社,精密機器,中部,愛知県,40000,2022-07-20,B,田中太郎
25,CUS-025,晴嵐光機株式会社,光学機器,関東,東京都,20000,2021-10-01,A,佐藤健一
26,CUS-026,鶴翼機械株式会社,機械部品,関東,東京都,13000,2023-08-15,B,鈴木美咲
27,CUS-027,大和冶金株式会社,鉄鋼,関東,東京都,106000,2022-11-01,A,佐藤健一
28,CUS-028,青葉自動車株式会社,自動車製造,関東,東京都,37000,2024-01-15,B,佐藤健一
29,CUS-029,初音自動車工業株式会社,自動車製造,中国,広島県,23000,2023-11-01,B,高橋誠
30,CUS-030,飛鳥エンジニアリング株式会社,重工業,関東,東京都,29000,2024-03-01,B,鈴木美咲
