ProductKey,ProductID,ProductName,Category,UnitPrice,UnitCost,ManufacturingLeadTimeDays,WeightKg,LaunchDate
1,PRD-001,高精度リニアセンサー LS-500,センサー,185000,92000,14,0.35,2022-04-01
2,PRD-002,産業用温度センサー TS-200,センサー,45000,22000,7,0.12,2021-06-15
3,PRD-003,圧力トランスミッター PT-300,センサー,128000,64000,10,0.45,2023-01-10
4,PRD-004,光学式変位計 OD-800,計測機器,320000,160000,21,1.2,2022-09-01
5,PRD-005,デジタルマイクロメーター DM-100,計測機器,78000,38000,5,0.55,2020-03-20
6,PRD-006,三次元測定機 CMM-3000,計測機器,4500000,2250000,60,850.0,2023-07-01
7,PRD-007,画像検査装置 VI-1000,検査装置,2800000,1400000,45,120.0,2022-11-15
8,PRD-008,レーザーマーカー LM-600,加工装置,1650000,825000,30,65.0,2024-02-01
9,PRD-009,PLC制御ユニット CU-400,制御機器,95000,47000,10,2.8,2021-08-10
10,PRD-010,サーボモーター SM-750,制御機器,210000,105000,12,8.5,2023-03-15
11,PRD-011,タッチパネルディスプレイ TD-120,制御機器,145000,72000,8,3.2,2022-05-20
12,PRD-012,産業用ロボットアーム RA-2000,ロボティクス,6500000,3250000,90,180.0,2024-06-01
13,PRD-013,協働ロボット CR-500,ロボティクス,3200000,1600000,60,35.0,2025-01-15
14,PRD-014,AGV自動搬送車 AGV-100,ロボティクス,4800000,2400000,75,450.0,2024-09-01
15,PRD-015,IoTゲートウェイ GW-50,IoTデバイス,68000,34000,5,0.85,2023-11-01
16,PRD-016,ワイヤレスセンサーノード WSN-30,IoTデバイス,35000,17000,3,0.08,2024-04-15
17,PRD-017,エッジコンピューティングユニット EC-200,IoTデバイス,248000,124000,15,4.5,2025-03-01
18,PRD-018,振動解析モジュール VA-150,センサー,156000,78000,12,0.65,2024-07-20
19,PRD-019,超音波厚さ計 UT-400,計測機器,92000,46000,8,1.1,2023-05-10
20,PRD-020,赤外線サーモグラフィ IR-900,検査装置,890000,445000,20,5.8,2024-11-01
